Variable,Odds_Ratio,CI_Lower,CI_Upper,OR (95% CI)
const,0.15010370689945046,0.11255765482413635,0.20017406066392798,0.150 (0.113 - 0.200)
BMXBMI,1.052645287929343,1.042920281842864,1.0624609775944511,1.053 (1.043 - 1.062)
